signal_id,frequency_hz,amplitude,phase_deg,noise_level,snr_db,thd_percent,bandwidth_hz,sample_rate_hz,duration_ms,target_quality
bass_001,80.0,0.9,0,0.02,34.77,0.2,10,44100,2000,0.98
bass_002,160.0,0.85,30,0.03,30.46,0.3,12,44100,2000,0.97
mid_001,500.0,0.7,60,0.05,26.02,0.5,20,44100,2000,0.95
mid_002,1000.0,0.75,90,0.04,27.96,0.4,18,44100,2000,0.96
mid_003,2000.0,0.6,120,0.08,21.94,0.8,25,44100,2000,0.92
treble_001,4000.0,0.5,150,0.12,16.48,1.2,30,44100,2000,0.88
treble_002,8000.0,0.4,180,0.15,10.46,2.0,35,44100,2000,0.80
treble_003,12000.0,0.3,210,0.20,6.02,3.5,40,44100,2000,0.75
vocal_001,250.0,0.8,240,0.06,24.44,0.6,22,44100,2000,0.94
vocal_002,350.0,0.75,270,0.07,23.10,0.7,24,44100,2000,0.93
vocal_003,450.0,0.7,300,0.08,21.94,0.8,25,44100,2000,0.92
vocal_004,650.0,0.65,330,0.09,17.27,1.0,28,44100,2000,0.90
drum_001,60.0,0.95,0,0.01,39.54,0.1,8,44100,500,0.99
drum_002,120.0,0.9,45,0.02,34.77,0.2,10,44100,500,0.98
drum_003,240.0,0.85,90,0.03,30.46,0.3,12,44100,500,0.97
cymbal_001,5000.0,0.4,135,0.15,10.46,2.0,35,44100,300,0.80
cymbal_002,10000.0,0.3,180,0.20,6.02,3.5,40,44100,300,0.75
cymbal_003,15000.0,0.25,225,0.25,1.58,5.0,45,44100,300,0.65
piano_001,261.63,0.8,0,0.04,27.96,0.4,18,44100,3000,0.96
piano_002,293.66,0.75,30,0.05,26.02,0.5,20,44100,3000,0.95
piano_003,329.63,0.7,60,0.06,24.44,0.6,22,44100,3000,0.94
piano_004,349.23,0.65,90,0.07,23.10,0.7,24,44100,3000,0.93
piano_005,392.00,0.6,120,0.08,21.94,0.8,25,44100,3000,0.92
guitar_001,82.41,0.85,150,0.03,30.46,0.3,12,44100,4000,0.97
guitar_002,110.00,0.8,180,0.04,27.96,0.4,18,44100,4000,0.96
guitar_003,146.83,0.75,210,0.05,26.02,0.5,20,44100,4000,0.95
guitar_004,196.00,0.7,240,0.06,24.44,0.6,22,44100,4000,0.94
guitar_005,246.94,0.65,270,0.07,23.10,0.7,24,44100,4000,0.93
synth_001,55.0,0.6,300,0.10,15.56,1.3,29,44100,1500,0.87
synth_002,110.0,0.55,330,0.11,14.15,1.5,32,44100,1500,0.85
