slot_id,day,start_time,end_time,duration_hours
0,Monday,08:00,09:00,1.0
1,Monday,09:00,10:00,1.0
2,Monday,10:00,11:00,1.0
3,Monday,11:00,12:00,1.0
4,Monday,13:00,14:00,1.0
5,Monday,14:00,15:00,1.0
6,Monday,15:00,16:00,1.0
7,Monday,16:00,17:00,1.0
8,Tuesday,08:00,09:00,1.0
9,Tuesday,09:00,10:00,1.0
10,Tuesday,10:00,11:00,1.0
11,Tuesday,11:00,12:00,1.0
12,Tuesday,13:00,14:00,1.0
13,Tuesday,14:00,15:00,1.0
14,Tuesday,15:00,16:00,1.0
15,Tuesday,16:00,17:00,1.0
16,Wednesday,08:00,09:00,1.0
17,Wednesday,09:00,10:00,1.0
18,Wednesday,10:00,11:00,1.0
19,Wednesday,11:00,12:00,1.0
20,Wednesday,13:00,14:00,1.0
21,Wednesday,14:00,15:00,1.0
22,Wednesday,15:00,16:00,1.0
23,Wednesday,16:00,17:00,1.0
24,Thursday,08:00,09:00,1.0
25,Thursday,09:00,10:00,1.0
26,Thursday,10:00,11:00,1.0
27,Thursday,11:00,12:00,1.0
28,Thursday,13:00,14:00,1.0
29,Thursday,14:00,15:00,1.0
30,Thursday,15:00,16:00,1.0
31,Thursday,16:00,17:00,1.0
32,Friday,08:00,09:00,1.0
33,Friday,09:00,10:00,1.0
34,Friday,10:00,11:00,1.0
35,Friday,11:00,12:00,1.0
36,Friday,13:00,14:00,1.0
37,Friday,14:00,15:00,1.0
38,Friday,15:00,16:00,1.0
39,Friday,16:00,17:00,1.0
